time,open,high,low,close,tick_volume,spread,real_volume
2025-02-03 06:00:00,2774.34,2783.1,2774.09,2780.85,4382,5,0
2025-02-03 07:00:00,2780.74,2785.14,2780.0,2783.1,4086,5,0
2025-02-03 08:00:00,2783.1,2788.15,2782.89,2786.94,4055,5,0
2025-02-03 09:00:00,2787.03,2790.02,2785.27,2789.37,4708,5,0
2025-02-03 10:00:00,2789.31,2800.21,2787.12,2796.71,5110,5,0
2025-02-03 11:00:00,2796.69,2800.8,2794.81,2796.31,4683,5,0
2025-02-03 12:00:00,2796.21,2800.15,2793.01,2798.07,4241,5,0
2025-02-03 13:00:00,2797.95,2804.31,2797.92,2801.24,4392,5,0
2025-02-03 14:00:00,2801.41,2810.92,2800.39,2810.48,4351,5,0
2025-02-03 15:00:00,2810.67,2811.9,2807.44,2811.01,4979,5,0
2025-02-03 16:00:00,2811.02,2830.4,2810.05,2829.51,5795,5,0
2025-02-03 17:00:00,2829.38,2830.09,2813.59,2817.48,6505,5,0
2025-02-03 18:00:00,2817.36,2825.28,2813.0,2814.21,5549,5,0
2025-02-03 19:00:00,2814.2,2822.22,2814.11,2817.37,5022,5,0
2025-02-03 20:00:00,2817.06,2821.64,2816.03,2821.03,4620,5,0
2025-02-03 21:00:00,2821.14,2822.9,2817.95,2818.32,4297,5,0
2025-02-03 22:00:00,2818.21,2819.59,2815.57,2816.58,4126,5,0
2025-02-03 23:00:00,2816.4,2817.48,2812.19,2814.75,2621,5,0
2025-02-04 01:00:00,2814.62,2815.26,2810.32,2814.01,1672,5,0
2025-02-04 02:00:00,2814.11,2817.57,2812.47,2817.2,1544,5,0
2025-02-04 03:00:00,2817.27,2824.24,2815.91,2823.35,3904,5,0
2025-02-04 04:00:00,2823.24,2824.72,2816.85,2821.14,4171,5,0
2025-02-04 05:00:00,2821.14,2824.41,2817.45,2821.56,3475,5,0
2025-02-04 06:00:00,2821.44,2821.53,2817.95,2819.34,3875,5,0
2025-02-04 07:00:00,2819.44,2819.44,2813.37,2815.79,4952,5,0
2025-02-04 08:00:00,2815.72,2816.16,2810.87,2813.63,4414,5,0
2025-02-04 09:00:00,2813.42,2814.31,2807.19,2812.72,4736,5,0
2025-02-04 10:00:00,2812.87,2819.28,2810.29,2815.16,5289,5,0
2025-02-04 11:00:00,2815.15,2821.81,2814.13,2820.09,4783,5,0
2025-02-04 12:00:00,2819.95,2819.98,2812.86,2814.98,4133,5,0
2025-02-04 13:00:00,2814.82,2816.96,2813.36,2815.45,4108,5,0
2025-02-04 14:00:00,2815.55,2823.04,2814.53,2821.81,4497,5,0
2025-02-04 15:00:00,2821.94,2837.13,2821.44,2831.69,5638,5,0
